Run,TemperatureCat,Measured.Temp
Run2,8,7.97
Run2,8,7.67
Run2,8,8.19
Run2,8,9.33
Run2,8,8.56
Run2,8,8.01
Run2,8,8.2
Run4,18,17.53
Run4,18,19.86
Run4,18,16.54
Run4,18,18.69
Run4,18,19.04
Run4,18,17.22
Run4,18,18.1
Run5,22,22.22
Run5,22,22.03
Run5,22,22.56
Run5,22,21.98
Run5,22,23.45
Run5,22,22.78
Run5,22,23.11
Run9,24,24.77
Run9,24,23.97
Run9,24,24.31
Run9,24,24.87
Run9,24,25.41
Run9,24,24.2
Run1,26,26.15
Run1,26,26.73
Run1,26,27.11
Run1,26,26.34
Run1,26,25.96
Run1,26,26.58
RunA,28,27.99
RunA,28,28.44
RunA,28,28.19
RunA,28,28.75
RunA,28,29.13
RunA,28,28.54
RunA,28,28.11
Run6,30,29.76
Run6,30,30.12
Run6,30,30.98
Run6,30,31.23
Run6,30,30.44
Run6,30,30.98
Run6,30,29.81
Run3,32,31.87
Run3,32,32.33
Run3,32,32.56
Run3,32,33.02
Run3,32,32.45
Run3,32,31.9
Run8,34,33.55
Run8,34,34.85
Run8,34,34.56
Run8,34,34.21
Run8,34,34.12
Run8,34,33.89
RunC,36,36.44
RunC,36,36.74
RunC,36,36.85
RunC,36,36.15
RunC,36,35.84
RunC,36,36.71
RunC,36,36.81
RunB,38,37.84
RunB,38,37.99
RunB,38,38.95
RunB,38,39.42
RunB,38,38.64
RunB,38,38.23
RunB,38,38.95
Run7,40,38.67
Run7,40,37.65
Run7,40,40.98
Run7,40,41.21
Run7,40,40.65
Run7,40,39.54
Run7,40,38.15
