name	term	lev	seq	value
"regulation of inflammatory response to antigenic stimulus"	GO:0002864;GO:0002673;GO:0002861;GO:0050727	5	Pocillopora_acuta_HIv1_PredGene_g22022.t1	2.418293311
"regulation of inflammatory response to antigenic stimulus"	GO:0002864;GO:0002673;GO:0002861;GO:0050727	5	Pocillopora_acuta_HIv1_PredGene_g22024.t1	-0.348434631
"regulation of inflammatory response to antigenic stimulus"	GO:0002864;GO:0002673;GO:0002861;GO:0050727	5	Pocillopora_acuta_HIv1_PredGene_g31542.t1	-0.483550372
"blood vessel development"	GO:0001568	2	Pocillopora_acuta_HIv1_PredGene_9798_t	1.249370777
"blood vessel development"	GO:0001568	2	Pocillopora_acuta_HIv1_PredGene_g10682.t1	-0.197878336
"blood vessel development"	GO:0001568	2	Pocillopora_acuta_HIv1_PredGene_g19174.t1	-0.601119943
"blood vessel development"	GO:0001568	2	Pocillopora_acuta_HIv1_PredGene_g27457.t1	-0.083049399
"blood vessel development"	GO:0001568	2	Pocillopora_acuta_HIv1_PredGene_g9040.t1	0.368224469
"blood vessel development"	GO:0001568	2	Pocillopora_acuta_HIv1_PredGene_g9821.t1	0.141100857
"nuclear-transcribed mRNA poly(A) tail shortening"	GO:0000289	2	Pocillopora_acuta_HIv1_PredGene_7713_t	0.138450861
"nuclear-transcribed mRNA poly(A) tail shortening"	GO:0000289	2	Pocillopora_acuta_HIv1_PredGene_g20310.t1	-0.018235721
"nuclear-transcribed mRNA poly(A) tail shortening"	GO:0000289	2	Pocillopora_acuta_HIv1_PredGene_g9234.t1	0.342926034
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_3184_t	0.06781989
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g12529.t1	-0.494777618
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g12690.t1	0.377569696
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g13983.t1	-0.045998442
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g13984.t1	-0.028624752
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g16394.t1	0.176027869
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g17032.t1	0.121648457
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g17672.t1	-0.104082779
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g18086.t1	0.245220277
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g18452.t1	-0.199518872
"regulation of molecular function"	GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790	6	Pocillopora_acuta_HIv1_PredGene_g23721.t1	-0.136905025
