"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
201 0.0913454421822144 1 17 "GO:0000003" "reproduction" 0.72591598209313
21 0.888231342939592 6 11 "GO:0000011;GO:0048308" "organelle inheritance" 0.983762076001419
231 0.157975016976266 2 9 "GO:0000012" "single strand break repair" 0.736652542851478
-87 0.690747533019618 4 5 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.893366809372039
-67 0.759473369976702 2 5 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.911234554109448
3 0.976818491757264 2 28 "GO:0000027" "ribosomal large subunit assembly" 0.999193103246992
-38 0.778757183565692 2 13 "GO:0000028" "ribosomal small subunit assembly" 0.911234554109448
-358 0.102357429708516 4 5 "GO:0000038" "very long-chain fatty acid metabolic process" 0.731828269886091
-147 0.127099529728411 2 26 "GO:0000045;GO:0070925;GO:1905037" "organelle assembly" 0.736652542851478
-20 0.927689885072872 3 5 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 0.994319545326725
-105 0.406721525445028 5 15 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0015931;GO:0006913;GO:0051169" "RNA export from nucleus" 0.834721163518809
-132 0.476212269398486 6 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.846809294021136
133 0.345941093719734 4 12 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "sister chromatid segregation" 0.834721163518809
96 0.661924093448053 4 5 "GO:0000076" "DNA replication checkpoint" 0.89074907309536
107 0.258109323966594 3 27 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.834721163518809
-3 0.979685758924611 6 18 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790" "regulation of molecular function" 0.999193103246992
167 0.0366820704178409 4 38 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.445011421235525
-7 0.94347633420988 2 23 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.999193103246992
184 0.0935458739810734 6 20 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle orientation" 0.72591598209313
4 0.982970378381378 3 6 "GO:0000154" "rRNA modification" 0.999193103246992
100 0.203062357775287 2 40 "GO:0000165;GO:0035556" "intracellular signal transduction" 0.826818583643512
-84 0.536945225434068 3 13 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.86440243106549
