gene_id,Pact19_S118_R1.gtf,Pact20_S119_R1.gtf,Pact21_S120_R1.gtf,Pact29_S121_R1.gtf,Pact30_S122_R1.gtf,Pact31_S123_R1.gtf,Pact39_S124_R1.gtf,Pact40_S125_R1.gtf,Pact41_S126_R1.gtf,Pact49_S127_R1.gtf,Pact50_S128_R1.gtf,Pact51_S129_R1.gtf,Pact59_S130_R1.gtf,Pact60_S131_R1.gtf,Pact66_S132_R1.gtf,Pact67_S133_R1.gtf,Pact68_S134_R1.gtf,Pact69_S135_R1.gtf
Pocillopora_acuta_HIv1_PredGene_g4114.t1,0,6,0,0,0,11,0,0,0,0,0,6,8,0,8,12,4,0
Pocillopora_acuta_HIv1_PredGene_g3322.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g11164.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13465.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.5738,33,20,8,12,13,13,17,18,27,17,18,20,27,25,13,16,24,11
Pocillopora_acuta_HIv1_PredGene_g5582.t1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1593.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13143.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.6175,75,70,58,113,58,95,48,53,66,100,59,58,137,92,93,70,107,65
Pocillopora_acuta_HIv1_PredGene_g32263.t1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28347.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.8663,154,113,157,158,183,199,151,157,144,124,163,129,127,143,94,76,98,73
STRG.8662,15,0,15,0,11,0,12,12,3,15,11,0,16,17,0,8,7,7
STRG.8661,32,21,36,0,27,34,9,19,33,21,24,18,23,20,20,33,19,15
STRG.8660,9,0,14,24,9,31,11,0,12,13,11,15,22,14,0,16,17,13
STRG.8667,89,40,88,60,95,58,82,88,90,73,69,73,68,39,48,67,69,56
STRG.8666,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.8665,37,55,26,72,39,84,35,36,33,35,30,26,88,52,72,59,75,54
STRG.8664,40,0,26,18,29,11,25,18,26,26,21,17,19,18,0,12,21,12
Pocillopora_acuta_HIv1_PredGene_g32679.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.8669,14,9,14,21,10,18,10,14,20,13,11,18,8,16,15,11,12,0
Pocillopora_acuta_HIv1_PredGene_30622_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.6544,62,64,47,78,63,94,37,39,48,43,43,26,62,36,58,58,52,36
STRG.6545,211,131,149,172,192,195,149,136,157,146,141,147,229,175,227,230,263,181
STRG.6546,9,6,0,11,9,8,8,8,13,0,8,18,8,0,13,5,7,7
STRG.6547,21,24,0,0,26,29,0,20,26,21,24,0,37,35,71,51,43,31
STRG.6540,4,2,4,4,3,4,2,4,3,7,4,2,5,2,3,1,3,4
Pocillopora_acuta_HIv1_PredGene_g8603.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
